cours,hight,indice,low,open_,time,var
14.720,18.880 ,ORPEA,13.240 ,13.240,2022-10-19 16:28:51,+14.11%
1.530,1.530 ,AIR FRANCE-KLM,1.480 ,1.498,2022-10-19 16:28:51,+5.26%
0.780,0.782 ,CGG,0.757 ,0.766,2022-10-19 16:28:51,+3.28%
11.040,12.120 ,KORIAN,10.730 ,10.810,2022-10-19 16:28:51,+2.89%
21.570,21.710 ,VEOLIA,21.120 ,21.470,2022-10-19 16:28:51,+2.81%
141.400,142.600 ,DASSAULT AVIATION,138.700 ,138.700,2022-10-19 16:28:51,+2.69%
8.325,8.400 ,CASINO GUICHARD PERRACHON,8.110 ,8.390,2022-10-19 16:28:51,+2.46%
25.460,25.480 ,VERALLIA,24.880 ,25.000,2022-10-19 16:28:51,+2.41%
19.290,19.290 ,KLEPIERRE,18.615 ,18.880,2022-10-19 16:28:51,+2.33%
24.515,24.520 ,AXA,24.000 ,24.160,2022-10-19 16:28:51,+2.30%
19.285,19.475 ,ALSTOM,18.995 ,19.145,2022-10-19 16:28:51,+2.15%
12.815,12.860 ,TECHNIP ENERGIES,12.695 ,12.710,2022-10-19 16:28:51,+1.67%
21.950,21.980 ,RUBIS,21.630 ,21.770,2022-10-19 16:28:51,+1.62%
9.556,9.556 ,ORANGE,9.412 ,9.416,2022-10-19 16:28:51,+1.58%
128.850,128.850 ,ADP,126.600 ,127.350,2022-10-19 16:28:51,+1.54%
6.090,6.135 ,TF1,6.015 ,6.070,2022-10-19 16:28:51,+1.50%
52.900,53.090 ,TOTALENERGIES,52.140 ,52.410,2022-10-19 16:28:51,+1.50%
16.985,17.175 ,VALEO,16.685 ,16.910,2022-10-19 16:28:51,+1.46%
10.850,10.850 ,COFACE,10.710 ,10.750,2022-10-19 16:28:51,+1.40%
14.880,14.890 ,PLASTIC OMNIUM,14.590 ,14.740,2022-10-19 16:28:51,+1.36%
11.295,11.420 ,OVHCLOUD,11.075 ,11.255,2022-10-19 16:28:52,+1.35%
10.760,10.820 ,ALD,10.600 ,10.640,2022-10-19 16:28:52,+1.32%
12.304,12.306 ,ENGIE,12.022 ,12.260,2022-10-19 16:28:52,+1.32%
101.560,101.560 ,AIRBUS,99.900 ,101.000,2022-10-19 16:28:52,+1.32%
15.765,15.775 ,GETLINK (ex: EUROTUNNEL),15.540 ,15.610,2022-10-19 16:28:52,+1.28%
12.292,12.308 ,ENGIE,12.022 ,12.260,2022-10-19 16:28:52,+1.22%
116.000,116.600 ,THALES,114.400 ,114.850,2022-10-19 16:28:52,+1.13%
10.740,10.820 ,ALD,10.600 ,10.640,2022-10-19 16:28:52,+1.13%
10.820,10.850 ,COFACE,10.710 ,10.750,2022-10-19 16:28:52,+1.12%
64.100,64.200 ,ERAMET,62.450 ,63.500,2022-10-19 16:28:52,+1.10%
113.200,113.500 ,ALTEN,111.200 ,113.000,2022-10-19 16:28:52,+1.07%
15.310,15.360 ,CARREFOUR,15.175 ,15.180,2022-10-19 16:28:52,+0.96%
36.100,36.120 ,IMERYS,35.760 ,35.800,2022-10-19 16:28:52,+0.95%
22.730,22.810 ,ACCOR,22.400 ,22.510,2022-10-19 16:28:52,+0.93%
10.475,10.555 ,VALLOUREC,10.310 ,10.500,2022-10-19 16:28:52,+0.92%
13.275,13.385 ,FAURECIA,12.915 ,13.185,2022-10-19 16:28:52,+0.91%
11.720,11.780 ,ELIS,11.630 ,11.650,2022-10-19 16:28:52,+0.77%
8.978,8.988 ,ATOS,8.652 ,8.902,2022-10-19 16:28:52,+0.70%
45.500,45.900 ,INTERPARFUMS,45.200 ,45.500,2022-10-19 16:28:52,+0.66%
8.174,8.174 ,VIVENDI,8.080 ,8.150,2022-10-19 16:28:52,+0.64%
13.092,13.190 ,STELLANTIS,12.968 ,13.138,2022-10-19 16:28:52,+0.60%
8.400,8.475 ,EUTELSAT COMMUNIC.,8.260 ,8.260,2022-10-19 16:28:52,+0.54%
266.200,267.000 ,TELEPERFORMANCE,262.800 ,264.500,2022-10-19 16:28:52,+0.45%
27.540,27.600 ,BOUYGUES,27.360 ,27.460,2022-10-19 16:28:52,+0.44%
69.650,70.600 ,BIC,68.350 ,69.550,2022-10-19 16:28:52,+0.43%
78.320,78.780 ,ARKEMA,77.500 ,78.420,2022-10-19 16:28:52,+0.41%
32.920,33.310 ,STMICROELECTRONICS,32.045 ,32.800,2022-10-19 16:28:52,+0.35%
23.180,23.260 ,SPIE,22.960 ,23.200,2022-10-19 16:28:52,+0.35%
87.010,87.190 ,VINCI,86.410 ,86.910,2022-10-19 16:28:52,+0.29%
8.840,8.931 ,CREDIT AGRICOLE SA,8.759 ,8.878,2022-10-19 16:28:52,+0.26%
